Filename	200MP mastercurve2 (SeqTest 3)
Instrument name	
Operator	Administrator
rundate	8/8/2018
[step]
Temperature Sweep - 1
Angular frequency	Storage modulus	Loss modulus	Tan(delta)	Complex modulus	Complex viscosity	Oscillation torque	Dynamic viscosity	Out of phase component of η*	Storage compliance	Loss compliance	Time	Temperature	Oscillation strain	Oscillation stress	Phase angle	Oscillation strain (cmd)	Displacement	Computed Alpha	Delta length	Axial force	Step time
rad/s	Pa	Pa		Pa	Pa.s	g.cm	Pa.s	Pa.s	1/Pa	1/Pa	s	°C	%	Pa	°	%	rad	mm/s	mm	N	s
39.8107	484238	530970	1.09651	718620	18050.9	7.73203	13337.4	12163.5	9.37691e-7	1.02818e-6	1324.00	19.821	1.04958	7542.49	47.6356	1.00000	1.88137e-3	0.00000	-0.09800	0.500280	1258.00
25.1189	387379	407058	1.05080	561924	22370.6	6.04330	16205.3	15421.8	1.22682e-6	1.28914e-6	1330.00	19.857	1.04910	5895.16	46.4189	1.00000	1.88052e-3	0.00000	-0.09800	0.500280	1264.00
15.8489	312319	312560	1.00077	441856	27879.2	4.74837	19721.2	19706.0	1.59969e-6	1.60093e-6	1338.00	19.897	1.04830	4631.96	45.0221	1.00000	1.87907e-3	0.00000	-0.09800	0.500280	1272.00
10.0000	254680	241023	0.946375	350648	35064.8	3.76747	24102.3	25468.0	2.07135e-6	1.96027e-6	1344.00	19.919	1.04809	3675.11	43.4218	1.00000	1.87871e-3	0.00000	-0.09800	0.500280	1278.00
6.30957	209418	186190	0.889079	280219	44411.7	3.00972	29509.1	33190.6	2.66698e-6	2.37116e-6	1354.00	19.949	1.04773	2935.94	41.6396	1.00000	1.87806e-3	0.00000	-0.09800	0.500280	1288.00
3.98107	174476	144809	0.829968	226741	56954.7	2.43520	36374.4	43826.3	3.39371e-6	2.81667e-6	1362.00	19.966	1.04767	2375.50	39.6916	1.00000	1.87795e-3	0.00000	-0.09800	0.500280	1296.00
2.51189	146924	112798	0.767727	185230	73741.3	1.98930	44905.6	58491.6	4.28225e-6	3.28760e-6	1371.00	19.982	1.04764	1940.53	37.5144	1.00000	1.87789e-3	0.00000	-0.09800	0.500280	1305.00
1.58489	125069	87828.1	0.702240	152826	96427.0	1.64079	55415.8	78913.0	5.35490e-6	3.76042e-6	1386.00	19.997	1.04731	1600.57	35.0781	1.00000	1.87731e-3	0.00000	-0.09800	0.500280	1320.00
1.00000	107927	69798.8	0.646724	128530	128530	1.38034	69798.8	107927	6.53308e-6	4.22509e-6	1409.00	20.002	1.04762	1346.50	32.8917	1.00000	1.87785e-3	0.00000	-0.09800	0.500280	1343.00
0.630957	94409.1	54656.7	0.578935	109089	172895	1.17156	86625.0	149628	7.93325e-6	4.59283e-6	1442.00	20.007	1.04762	1142.84	30.0680	1.00000	1.87787e-3	0.00000	-0.09800	0.500280	1376.00
100.000	1196420	1418030	1.18523	1855330	18553.3	19.6849	14180.3	11964.2	3.47570e-7	4.11950e-7	1587.00	14.742	1.03498	19202.3	49.8450	1.00000	1.81639e-3	0.00000	-0.1130	0.517966	1521.00
63.0957	921801	1084640	1.17665	1423430	22559.8	15.2392	17190.3	14609.6	4.54952e-7	5.35318e-7	1594.00	14.804	1.04435	14865.6	49.6397	1.00000	1.83284e-3	0.00000	-0.1130	0.517966	1528.00
39.8107	716185	826494	1.15402	1093620	27470.6	11.7443	20760.6	17989.7	5.98810e-7	6.91041e-7	1599.00	14.835	1.04756	11456.4	49.0900	1.00000	1.83848e-3	0.00000	-0.1130	0.517966	1533.00
25.1189	563124	631471	1.12137	846088	33683.4	9.09713	25139.3	22418.4	7.86635e-7	8.82110e-7	1605.00	14.874	1.04884	8874.12	48.2745	1.00000	1.84072e-3	0.00000	-0.1130	0.517966	1539.00
15.8489	447692	483771	1.08059	659138	41588.8	7.08367	30523.9	28247.5	1.03045e-6	1.11349e-6	1612.00	14.908	1.04834	6910.01	47.2182	1.00000	1.83984e-3	0.00000	-0.1130	0.517966	1546.00
10.0000	359073	370921	1.03300	516252	51625.2	5.54843	37092.1	35907.3	1.34729e-6	1.39174e-6	1619.00	14.933	1.04841	5412.41	45.9298	1.00000	1.83995e-3	0.00000	-0.1130	0.517966	1553.00
6.30957	290826	285647	0.982193	407645	64607.4	4.38036	45272.1	46092.8	1.75013e-6	1.71896e-6	1627.00	14.955	1.04821	4272.98	44.4853	1.00000	1.83961e-3	0.00000	-0.1130	0.517966	1561.00
3.98107	237712	220628	0.928129	324321	81465.6	3.48475	55419.2	59710.7	2.25997e-6	2.09755e-6	1635.00	14.969	1.04814	3399.32	42.8653	1.00000	1.83948e-3	0.00000	-0.1130	0.517966	1569.00
2.51189	196307	171140	0.871798	260433	103680	2.79866	68132.1	78151.2	2.89430e-6	2.52325e-6	1643.00	14.981	1.04827	2730.05	41.0819	1.00000	1.83972e-3	0.00000	-0.1130	0.517966	1577.00
1.58489	164165	133112	0.810846	211350	133353	2.26978	83988.2	103581	3.67514e-6	2.97997e-6	1656.00	14.994	1.04762	2214.14	39.0367	1.00000	1.83857e-3	0.00000	-0.1130	0.517966	1590.00
1.00000	138418	104638	0.755961	173518	173518	1.86450	104638	138418	4.59728e-6	3.47536e-6	1678.00	15.003	1.04818	1818.79	37.0879	1.00000	1.83956e-3	0.00000	-0.1130	0.517966	1612.00
0.630957	118709	81791.8	0.689014	144158	228476	1.54876	129631	188140	5.71219e-6	3.93578e-6	1711.00	15.006	1.04801	1510.79	34.5674	1.00000	1.83925e-3	0.00000	-0.1130	0.517966	1645.00
100.000	1947780	2250230	1.15528	2976140	29761.4	31.4351	22502.3	19477.8	2.19904e-7	2.54051e-7	1858.00	9.742	1.03035	30664.5	49.1209	1.00000	1.76962e-3	0.00000	-0.1280	0.500476	1792.00
63.0957	1481970	1741890	1.17539	2287010	36246.6	24.4088	27607.1	23487.6	2.83337e-7	3.33032e-7	1866.00	9.803	1.04112	23810.5	49.6095	1.00000	1.78812e-3	0.00000	-0.1280	0.500476	1800.00
39.8107	1135320	1340880	1.18106	1756960	44133.0	18.8216	33681.5	28518.0	3.67784e-7	4.34375e-7	1871.00	9.837	1.04500	18360.2	49.7455	1.00000	1.79478e-3	0.00000	-0.1280	0.500476	1805.00
25.1189	875333	1024230	1.17010	1347310	53637.5	14.4542	40775.3	34847.6	4.82210e-7	5.64235e-7	1877.00	9.872	1.04652	14099.8	49.4819	1.00000	1.79739e-3	0.00000	-0.1280	0.500476	1811.00
15.8489	682591	782768	1.14676	1038580	65530.2	11.1448	49389.4	43068.6	6.32816e-7	7.25688e-7	1884.00	9.904	1.04677	10871.6	48.9109	1.00000	1.79783e-3	0.00000	-0.1280	0.500476	1818.00
10.0000	537853	598622	1.11298	804757	80475.7	8.64075	59862.2	53785.3	8.30489e-7	9.24322e-7	1891.00	9.930	1.04739	8428.93	48.0608	1.00000	1.79889e-3	0.00000	-0.1280	0.500476	1825.00
6.30957	428564	459290	1.07169	628183	99560.4	6.74678	72792.5	67922.9	1.08603e-6	1.16389e-6	1899.00	9.953	1.04769	6581.39	46.9820	1.00000	1.79940e-3	0.00000	-0.1280	0.500476	1833.00
3.98107	344374	352768	1.02437	492990	123833	5.29633	88611.3	86503.0	1.41695e-6	1.45149e-6	1907.00	9.969	1.04799	5166.49	45.6898	1.00000	1.79993e-3	0.00000	-0.1280	0.500476	1841.00
2.51189	279353	272111	0.974077	389978	155253	4.19120	108329	111212	1.83685e-6	1.78923e-6	1916.00	9.983	1.04838	4088.45	44.2477	1.00000	1.80059e-3	0.00000	-0.1280	0.500476	1850.00
1.58489	229090	210357	0.918227	311018	196239	3.34058	132726	144546	2.36829e-6	2.17463e-6	1929.00	9.995	1.04775	3258.69	42.5590	1.00000	1.79951e-3	0.00000	-0.1280	0.500476	1863.00
1.00000	189615	163208	0.860736	250181	250181	2.69032	163208	189615	3.02944e-6	2.60755e-6	1948.00	10.003	1.04899	2624.37	40.7198	1.00000	1.80163e-3	0.00000	-0.1280	0.500476	1882.00
0.630957	158445	126892	0.800861	202993	321723	2.18350	201110	251118	3.84515e-6	3.07943e-6	1979.00	10.006	1.04928	2129.97	38.6899	1.00000	1.80214e-3	0.00000	-0.1280	0.500476	1913.00
