Filename	200MP mastercurve2 (SeqTest 2)
Instrument name	
Operator	Administrator
rundate	8/8/2018
File Parameters	
[Name]
[Instrument type]
[step]
Temperature Sweep - 1
Angular frequency	Storage modulus	Loss modulus	Tan(delta)	Complex modulus	Complex viscosity	Oscillation torque	Dynamic viscosity	Out of phase component of η*	Storage compliance	Loss compliance	Time	Temperature	Oscillation strain	Oscillation stress	Phase angle	Oscillation strain (cmd)	Displacement	Computed Alpha	Delta length	Axial force	Step time
rad/s	Pa	Pa		Pa	Pa.s	g.cm	Pa.s	Pa.s	1/Pa	1/Pa	s	°C	%	Pa	°	%	rad	mm/s	mm	N	s
1.58489	48095.4	16434.0	0.341696	50825.6	32068.8	0.845685	10369.2	30346.1	1.86182e-5	6.36177e-6	944.000	79.906	1.62311	824.953	18.8651	2.00000	4.81657e-3	0.00000	0.1140	0.412161	890.000
1.00000	43810.1	15420.1	0.351976	46444.6	46444.6	0.773164	15420.1	43810.1	2.03097e-5	7.14852e-6	963.000	79.960	1.62389	754.210	19.3908	2.00000	4.81890e-3	0.00000	0.1140	0.412161	909.000
0.630957	39271.8	13801.3	0.351430	41626.3	65973.3	0.692943	21873.6	62241.6	2.26644e-5	7.96496e-6	994.000	79.988	1.62387	675.956	19.3630	2.00000	4.81883e-3	0.00000	0.1140	0.412161	940.000
100.000	116878	54024.3	0.462230	128759	1287.59	2.13162	540.243	1168.78	7.04974e-6	3.25860e-6	1082.00	74.249	1.61492	2079.36	24.8078	2.00000	4.71961e-3	0.00000	0.09600	0.413257	1028.00
63.0957	105616	44047.4	0.417053	114433	1813.64	1.90265	698.104	1673.90	8.06543e-6	3.36371e-6	1089.00	74.343	1.62192	1856.01	22.6387	2.00000	4.74005e-3	0.00000	0.09600	0.413257	1035.00
39.8107	96275.4	36703.6	0.381236	103035	2588.11	1.71320	921.954	2418.33	9.06880e-6	3.45735e-6	1094.00	74.409	1.62198	1671.20	20.8686	2.00000	4.74024e-3	0.00000	0.09600	0.413257	1040.00
25.1189	88121.6	31365.9	0.355939	93537.4	3723.79	1.55437	1248.70	3508.18	1.00719e-5	3.58499e-6	1100.00	74.485	1.62103	1516.27	19.5926	2.00000	4.73746e-3	0.00000	0.09600	0.413257	1046.00
15.8489	81101.3	27308.5	0.336722	85575.5	5399.45	1.42113	1723.05	5117.14	1.10746e-5	3.72906e-6	1107.00	74.565	1.61996	1386.29	18.6095	2.00000	4.73433e-3	0.00000	0.09600	0.413257	1053.00
10.0000	74381.8	24358.0	0.327472	78268.5	7826.86	1.29915	2435.80	7438.18	1.21421e-5	3.97618e-6	1114.00	74.638	1.61917	1267.30	18.1322	2.00000	4.73204e-3	0.00000	0.09600	0.413257	1060.00
6.30957	68308.3	22057.0	0.322903	71781.1	11376.5	1.19106	3495.79	10826.1	1.32572e-5	4.28080e-6	1122.00	74.719	1.61862	1161.87	17.8954	2.00000	4.73043e-3	0.00000	0.09600	0.413257	1068.00
3.98107	62558.8	20189.0	0.322720	65735.8	16512.1	1.09063	5071.24	15714.1	1.44772e-5	4.67207e-6	1131.00	74.780	1.61844	1063.89	17.8859	2.00000	4.72989e-3	0.00000	0.09600	0.413257	1077.00
2.51189	56978.3	18740.4	0.328904	59981.1	23878.9	0.994955	7460.69	22683.5	1.58373e-5	5.20896e-6	1139.00	74.832	1.61812	970.564	18.2063	2.00000	4.72895e-3	0.00000	0.09600	0.413257	1085.00
1.58489	51755.6	17375.8	0.335727	54594.5	34446.8	0.905124	10963.4	32655.6	1.73644e-5	5.82969e-6	1153.00	74.896	1.61726	882.935	18.5583	2.00000	4.72644e-3	0.00000	0.09600	0.413257	1099.00
1.00000	47128.1	16223.2	0.344237	49842.3	49842.3	0.826729	16223.2	47128.1	1.89707e-5	6.53043e-6	1173.00	74.958	1.61803	806.462	18.9953	2.00000	4.72869e-3	0.00000	0.09600	0.413257	1119.00
0.630957	42559.2	14815.4	0.348114	45064.2	71421.9	0.747429	23480.9	67451.8	2.09570e-5	7.29544e-6	1203.00	74.991	1.61793	729.106	19.1937	2.00000	4.72839e-3	0.00000	0.09600	0.413257	1149.00
100.000	127165	64736.1	0.509073	142694	1426.94	2.35190	647.361	1271.65	6.24531e-6	3.17931e-6	1285.00	69.235	1.60780	2294.24	26.9794	2.00000	4.63047e-3	0.00000	0.07900	0.420680	1231.00
63.0957	114135	52084.6	0.456341	125458	1988.37	2.07986	825.485	1808.92	7.25144e-6	3.30913e-6	1292.00	69.324	1.61718	2028.88	24.5291	2.00000	4.65747e-3	0.00000	0.07900	0.420680	1238.00
39.8107	103270	42595.3	0.412466	111709	2806.01	1.85230	1069.95	2594.02	8.27549e-6	3.41336e-6	1297.00	69.389	1.61749	1806.89	22.4145	2.00000	4.65838e-3	0.00000	0.07900	0.420680	1243.00
25.1189	94082.2	35605.3	0.378449	100594	4004.73	1.66670	1417.47	3745.48	9.29739e-6	3.51859e-6	1303.00	69.469	1.61623	1625.84	20.7291	2.00000	4.65475e-3	0.00000	0.07900	0.420680	1249.00
15.8489	86368.3	30389.6	0.351860	91558.8	5776.97	1.51552	1917.45	5449.47	1.03028e-5	3.62514e-6	1310.00	69.557	1.61466	1478.36	19.3849	2.00000	4.65023e-3	0.00000	0.07900	0.420680	1256.00
10.0000	79306.3	26575.1	0.335095	83640.5	8364.05	1.38385	2657.51	7930.63	1.13364e-5	3.79876e-6	1317.00	69.633	1.61396	1349.93	18.5257	2.00000	4.64822e-3	0.00000	0.07900	0.420680	1263.00
6.30957	72794.5	23737.9	0.326094	76567.1	12135.1	1.26644	3762.20	11537.2	1.24169e-5	4.04909e-6	1326.00	69.710	1.61348	1235.40	18.0609	2.00000	4.64682e-3	0.00000	0.07900	0.420680	1272.00
3.98107	66686.6	21573.3	0.323502	70089.3	17605.6	1.15887	5418.96	16750.9	1.35749e-5	4.39150e-6	1334.00	69.775	1.61289	1130.46	17.9265	2.00000	4.64513e-3	0.00000	0.07900	0.420680	1280.00
2.51189	61081.3	19901.7	0.325824	64241.7	25575.1	1.06201	7923.02	24316.9	1.48004e-5	4.82232e-6	1342.00	69.831	1.61263	1035.98	18.0468	2.00000	4.64436e-3	0.00000	0.07900	0.420680	1288.00
1.58489	55676.7	18273.6	0.328209	58598.8	36973.4	0.968154	11529.9	35129.7	1.62142e-5	5.32164e-6	1356.00	69.900	1.61167	944.421	18.1703	2.00000	4.64161e-3	0.00000	0.07900	0.420680	1302.00
1.00000	50723.1	17163.7	0.338381	53548.3	53548.3	0.885186	17163.7	50723.1	1.76894e-5	5.98576e-6	1376.00	69.959	1.61254	863.486	18.6948	2.00000	4.64410e-3	0.00000	0.07900	0.420680	1322.00
0.630957	46118.3	15855.8	0.343806	48767.8	77291.8	0.806126	25129.7	73092.6	1.93913e-5	6.66684e-6	1406.00	69.990	1.61246	786.364	18.9733	2.00000	4.64390e-3	0.00000	0.07900	0.420680	1352.00
100.000	140474	79314.0	0.564618	161318	1613.18	2.65105	793.140	1404.74	5.39794e-6	3.04778e-6	1489.00	64.190	1.60308	2586.06	29.4499	2.00000	4.55275e-3	0.00000	0.06300	0.396646	1435.00
63.0957	124536	63010.6	0.505963	139569	2212.02	2.30406	998.650	1973.76	6.39317e-6	3.23471e-6	1496.00	64.299	1.61037	2247.58	26.8377	2.00000	4.57346e-3	0.00000	0.06300	0.396646	1442.00
39.8107	111715	50755.5	0.454330	122705	3082.20	2.02595	1274.92	2806.16	7.41978e-6	3.37103e-6	1501.00	64.372	1.61060	1976.28	24.4337	2.00000	4.57412e-3	0.00000	0.06300	0.396646	1447.00
25.1189	101234	41541.9	0.410355	109426	4356.33	1.80639	1653.81	4030.20	8.45444e-6	3.46932e-6	1507.00	64.456	1.61031	1762.10	22.3110	2.00000	4.57329e-3	0.00000	0.06300	0.396646	1453.00
15.8489	92660.2	34681.6	0.374288	98938.0	6242.56	1.63176	2188.26	5846.46	9.46601e-6	3.54302e-6	1514.00	64.548	1.60884	1591.76	20.5203	2.00000	4.56912e-3	0.00000	0.06300	0.396646	1460.00
10.0000	84838.3	29726.3	0.350387	89895.4	8989.54	1.48182	2972.63	8483.83	1.04982e-5	3.67845e-6	1522.00	64.630	1.60798	1445.50	19.3098	2.00000	4.56666e-3	0.00000	0.06300	0.396646	1468.00
6.30957	77878.7	25979.0	0.333583	82097.5	13011.6	1.35301	4117.40	12343.0	1.15547e-5	3.85445e-6	1530.00	64.712	1.60765	1319.84	18.4478	2.00000	4.56573e-3	0.00000	0.06300	0.396646	1476.00
3.98107	71734.3	23318.9	0.325074	75429.4	18947.0	1.24287	5857.45	18018.9	1.26080e-5	4.09853e-6	1538.00	64.781	1.60734	1212.41	18.0080	2.00000	4.56485e-3	0.00000	0.06300	0.396646	1484.00
2.51189	65815.5	20981.8	0.318797	69079.1	27500.9	1.13807	8353.00	26201.6	1.37923e-5	4.39693e-6	1546.00	64.835	1.60710	1110.17	17.6821	2.00000	4.56416e-3	0.00000	0.06300	0.396646	1492.00
1.58489	59989.8	19271.1	0.321240	63009.1	39756.1	1.03738	12159.3	37851.0	1.51102e-5	4.85401e-6	1560.00	64.915	1.60603	1011.95	17.8091	2.00000	4.56113e-3	0.00000	0.06300	0.396646	1506.00
1.00000	54873.8	17906.6	0.326324	57721.6	57721.6	0.950834	17906.6	54873.8	1.64698e-5	5.37450e-6	1580.00	64.960	1.60689	927.525	18.0728	2.00000	4.56358e-3	0.00000	0.06300	0.396646	1526.00
0.630957	49792.9	16222.7	0.325803	52369.0	82999.3	0.862630	25711.2	78916.5	1.81560e-5	5.91526e-6	1610.00	64.990	1.60683	841.483	18.0458	2.00000	4.56341e-3	0.00000	0.06300	0.396646	1556.00
100.000	157719	99231.4	0.629167	186339	1863.39	3.04936	992.314	1577.19	4.54232e-6	2.85788e-6	1694.00	59.225	1.59635	2974.61	32.1767	2.00000	4.46578e-3	0.00000	0.04600	0.401343	1640.00
63.0957	138037	77840.2	0.563910	158472	2511.60	2.60584	1233.68	2187.73	5.49657e-6	3.09957e-6	1701.00	59.324	1.60405	2541.96	29.4191	2.00000	4.48733e-3	0.00000	0.04600	0.401343	1647.00
39.8107	122453	61792.4	0.504622	137160	3445.31	2.25714	1552.15	3075.87	6.50895e-6	3.28456e-6	1706.00	59.395	1.60528	2201.81	26.7765	2.00000	4.49077e-3	0.00000	0.04600	0.401343	1652.00
25.1189	109865	49762.4	0.452943	120609	4801.53	1.98347	1981.08	4373.79	7.55263e-6	3.42091e-6	1712.00	59.478	1.60423	1934.85	24.3678	2.00000	4.48784e-3	0.00000	0.04600	0.401343	1658.00
15.8489	99857.5	40752.9	0.408110	107853	6805.08	1.77227	2571.33	6300.58	8.58449e-6	3.50342e-6	1721.00	59.576	1.60294	1728.82	22.2009	2.00000	4.48423e-3	0.00000	0.04600	0.401343	1667.00
10.0000	91176.4	34091.1	0.373903	97341.4	9734.14	1.59892	3409.11	9117.64	9.62249e-6	3.59788e-6	1727.00	59.643	1.60232	1559.72	20.5009	2.00000	4.48250e-3	0.00000	0.04600	0.401343	1673.00
6.30957	83334.5	29141.0	0.349688	88282.7	13991.9	1.44956	4618.54	13207.6	1.06924e-5	3.73898e-6	1736.00	59.731	1.60170	1414.02	19.2741	2.00000	4.48075e-3	0.00000	0.04600	0.401343	1682.00
3.98107	76688.7	25488.6	0.332364	80813.5	20299.4	1.32656	6402.44	19263.3	1.17426e-5	3.90281e-6	1743.00	59.786	1.60127	1294.04	18.3849	2.00000	4.47956e-3	0.00000	0.04600	0.401343	1689.00
2.51189	70443.7	22810.1	0.323807	74044.7	29477.7	1.21509	9080.88	28044.2	1.28486e-5	4.16045e-6	1752.00	59.847	1.60080	1185.31	17.9423	2.00000	4.47823e-3	0.00000	0.04600	0.401343	1698.00
1.58489	64524.3	20402.7	0.316202	67673.2	42698.9	1.10996	12873.2	40712.1	1.40893e-5	4.45507e-6	1767.00	59.911	1.59997	1082.75	17.5470	2.00000	4.47590e-3	0.00000	0.04600	0.401343	1713.00
1.00000	59070.7	18831.7	0.318799	61999.8	61999.9	1.01744	18831.7	59070.7	1.53671e-5	4.89901e-6	1787.00	59.967	1.60081	992.501	17.6823	2.00000	4.47827e-3	0.00000	0.04600	0.401343	1733.00
0.630957	53924.8	17538.0	0.325230	56705.1	89871.5	0.930512	27795.8	85465.1	1.67704e-5	5.45425e-6	1817.00	59.999	1.60074	907.701	18.0161	2.00000	4.47807e-3	0.00000	0.04600	0.401343	1763.00
100.000	180701	126303	0.698960	220466	2204.66	3.59706	1263.03	1807.01	3.71772e-6	2.59854e-6	1909.00	54.187	1.59157	3508.88	34.9520	2.00000	4.38876e-3	0.00000	0.03000	0.398018	1855.00
